Pitcher,Batter
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Bertucio, Robbie"
"Sipling, Eric","Merriken, Will"
"Sipling, Eric","Merriken, Will"
"Sipling, Eric","Watson, Sam"
"Sipling, Eric","Watson, Sam"
"Sipling, Eric","Watson, Sam"
"Sipling, Eric","Watson, Sam"
"Sipling, Eric","Watson, Sam"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Andrews, Hunter"
"Sipling, Eric","Andrews, Hunter"
"Sipling, Eric","Staz, Mason"
"Sipling, Eric","Staz, Mason"
"Sipling, Eric","Staz, Mason"
"Sipling, Eric","Staz, Mason"
"Sipling, Eric","Butler, Conner"
"Sipling, Eric","Butler, Conner"
"Sipling, Eric","Butler, Conner"
"Sipling, Eric","Butler, Conner"
"Sipling, Eric","Butler, Conner"
"Sipling, Eric","Butler, Conner"
"Sipling, Eric","Agee, Cale"
"Sipling, Eric","Agee, Cale"
"Sipling, Eric","Agee, Cale"
"Sipling, Eric","Agee, Cale"
"Sipling, Eric","Ferrell, Troy"
"Sipling, Eric","Ferrell, Troy"
"Sipling, Eric","Ferrell, Troy"
"Sipling, Eric","Ferrell, Troy"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Thomas, Joey"
"Parks, Evan","Thomas, Joey"
"Parks, Evan","McGonigle, Tyler"
"Parks, Evan","McGonigle, Tyler"
"Parks, Evan","McGonigle, Tyler"
"Parks, Evan","McGonigle, Tyler"
"Parks, Evan","McGonigle, Tyler"
"Sipling, Eric","Merriken, Will"
"Sipling, Eric","Merriken, Will"
"Sipling, Eric","Watson, Sam"
"Sipling, Eric","Watson, Sam"
"Sipling, Eric","Watson, Sam"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Salva, Will"
"Sipling, Eric","Kandrick, Gavin"
"Sipling, Eric","Kandrick, Gavin"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Sipling, Eric","Byerley, Jeb"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","McGinley, Riley"
"Parks, Evan","McGinley, Riley"
"Parks, Evan","McGinley, Riley"
"Parks, Evan","McGinley, Riley"
"Parks, Evan","Manning, Derek"
"Parks, Evan","Christy, Mike"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Ortega, Nick","Staz, Mason"
"Ortega, Nick","Staz, Mason"
"Ortega, Nick","Butler, Conner"
"Ortega, Nick","Agee, Cale"
"Ortega, Nick","Agee, Cale"
"Ortega, Nick","Agee, Cale"
"Parks, Evan","Bertucio, Robbie"
"Parks, Evan","Bertucio, Robbie"
"Parks, Evan","Bertucio, Robbie"
"Parks, Evan","Bertucio, Robbie"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Thomas, Joey"
"Parks, Evan","Thomas, Joey"
"Parks, Evan","McGonigle, Tyler"
"Parks, Evan","McGonigle, Tyler"
"Parks, Evan","McGonigle, Tyler"
"Parks, Evan","McGonigle, Tyler"
"Ortega, Nick","Ferrell, Troy"
"Ortega, Nick","Ferrell, Troy"
"Ortega, Nick","Merriken, Will"
"Ortega, Nick","Merriken, Will"
"Ortega, Nick","Merriken, Will"
"Ortega, Nick","Merriken, Will"
"Ortega, Nick","Merriken, Will"
"Ortega, Nick","Watson, Sam"
"Ortega, Nick","Watson, Sam"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","Fisher, Andrew"
"Parks, Evan","McGinley, Riley"
"Parks, Evan","Manning, Derek"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Kandrick, Gavin"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Staz, Mason"
"Ortega, Nick","Staz, Mason"
"Ortega, Nick","Butler, Conner"
"Parks, Evan","Christy, Mike"
"Parks, Evan","Christy, Mike"
"Parks, Evan","Christy, Mike"
"Parks, Evan","Christy, Mike"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Bertucio, Robbie"
"Parks, Evan","Bertucio, Robbie"
"Parks, Evan","Bertucio, Robbie"
"Parks, Evan","Bertucio, Robbie"
"Ortega, Nick","Agee, Cale"
"Ortega, Nick","Ferrell, Troy"
"Ortega, Nick","Plunkett, Carter"
"Ortega, Nick","Plunkett, Carter"
"Ortega, Nick","Plunkett, Carter"
"Ortega, Nick","Plunkett, Carter"
"Ortega, Nick","Plunkett, Carter"
"Ortega, Nick","Merriken, Will"
"Ortega, Nick","Watson, Sam"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Watson, Ben"
"Parks, Evan","Thomas, Joey"
"Parks, Evan","Thomas, Joey"
"Parks, Evan","Thomas, Joey"
"Parks, Evan","McGonigle, Tyler"
"Parks, Evan","Rajnik, Michael"
"Parks, Evan","Rajnik, Michael"
"Parks, Evan","Rajnik, Michael"
"Parks, Evan","McGinley, Riley"
"Parks, Evan","McGinley, Riley"
"Parks, Evan","McGinley, Riley"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Salva, Will"
"Ortega, Nick","Kandrick, Gavin"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Ortega, Nick","Parks, Evan"
"Parks, Evan","Manning, Derek"
"Parks, Evan","Manning, Derek"
"Parks, Evan","Manning, Derek"
"Parks, Evan","Christy, Mike"
"Parks, Evan","Christy, Mike"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
"Parks, Evan","Thompson, JT"
